id,name,alias,iata_code,icao_code,callsign,country,active
1892,Copterline,Unknown,Unknown,AAQ,COPTERLINE,Finland,Y
1893,Coptrade Air Transport,Unknown,Unknown,CCW,COPTRADE AIR,Sudan,N
1894,Corendon Airlines,Unknown,Unknown,CAI,CORENDON,Turkey,Y
1895,Coronado Aerolineas,Unknown,Unknown,CRA,CORAL,Colombia,N
1896,Corpac Canada,Unknown,Unknown,CPB,PENTA,Canada,N
1897,Corporacion Aereo Cencor,Unknown,Unknown,CNC,CENCOR,Mexico,N
1898,Corporacion Aeroangeles,Unknown,Unknown,CPG,CORPORANG,Mexico,N
1899,Corporacion Paraguaya De Aeronautica,Unknown,Unknown,CGY,Unknown,Paraguay,N
1900,Corporate Air,Unknown,Unknown,CPT,AIR SPUR,United States,N
1901,Corporate Air,Unknown,Unknown,CPR,CORPAIR,United States,N
1902,Corporate Aircraft Company,Unknown,Unknown,CPO,MOKAN,United States,N
1903,Corporate Airlink,Unknown,Unknown,COO,CORPORATE,Canada,N
1904,Corporate Aviation Services,Unknown,Unknown,CKE,CHECKMATE,United States,N
1905,Corporate Flight International,Unknown,Unknown,VHT,VEGAS HEAT,United States,N
1906,Corporate Flight Management,Unknown,Unknown,VTE,VOLUNTEER,United States,N
1907,Corporate Jets,Unknown,Unknown,CJI,SEA JET,United States,N
1908,Corsairfly,Unknown,SS,CRL,CORSAIR,France,Y
1909,Corse-Mediterranee,Unknown,XK,CCM,CORSICA,France,Y
1910,Cosmic Air,Unknown,F5,COZ,COSMIC AIR,Nepal,N
1911,Cougar Helicopters,Unknown,Unknown,CHI,COUGAR,Canada,N
1912,Coulson Flying Service,Unknown,Unknown,MGB,MOCKINGBIRD,United Kingdom,N
1913,Country Connection Airlines,Unknown,Unknown,NSW,Unknown,Australia,N
1914,Country International Airlines,Unknown,Unknown,CIK,COUNTRY AIR,Kyrgyzstan,N
1915,Courier Services,Unknown,Unknown,CSD,DELIVERY,United States,N
1916,Court Helicopters,Unknown,Unknown,CUT,COURT AIR,South Africa,N
1917,Coval Air,Unknown,Unknown,CVL,COVAL,Canada,N
1918,Cowi,Unknown,Unknown,COW,COWI,Netherlands,N
1919,Coyne Aviation,Unknown,Unknown,COY,COYNE AIR,United Kingdom,N
