airport_id,name,city,country,iata_code,icao_code,latitude,longitude,Altitude,timezone_offset,DST,time_zone_identifier,airport_type,geom
13400,Serra da Capivara Airport,Sao Raimundo Nonato,Brazil,Unknown,SWKQ,-9.082778,-42.644444,1362,-3,South America,Unknown zone identifier,airport,POINT(-42.644444 -9.082778)
13401,Encarnación Airport,Encarnacion,Paraguay,ENO,SGEN,-27.227366,-55.837495,659,-4,South America,Unknown zone identifier,airport,POINT(-55.837495 -27.227366)
13402,Amatopo Airstrip,Amatopo,Suriname,Unknown,SMAM,3.547885,-57.633958,0,-3,None,Unknown zone identifier,airport,POINT(-57.633958 3.547885)
13403,Poeketi Airstrip,Poeketi,Suriname,Unknown,SMPE,4.126389,-54.623611,0,-3,None,Unknown zone identifier,airport,POINT(-54.623611 4.126389)
13404,Godo Holo Airstrip,Pikienkondre of Miranda,Suriname,Unknown,SMGH,4.0583,-54.7861,280,-3,None,Unknown zone identifier,airport,POINT(-54.7861 4.0583)
13405,Anholt Airport,Anholt,Denmark,Unknown,EKAT,56.6988983154,11.5558996201,23,1,Europe,Unknown zone identifier,airport,POINT(11.5558996201 56.6988983154)
13406,Natakhtari Airfield,Natakhtari,Georgia,Unknown,UGSA,41.921,44.714,1670,4,None,Unknown zone identifier,Unknown,POINT(44.714 41.921)
13407,Ambrolauri Airport,Ambrolauri,Georgia,Unknown,UGAM,42.526111,43.135833,1800,4,None,Unknown zone identifier,Unknown,POINT(43.135833 42.526111)
13408,Hicks Airfield,Fort Worth,United States,T67,Unknown,32.5444,-97.2404,855,-6,US/Canada,Unknown zone identifier,Unknown,POINT(-97.2404 32.5444)
13409,Karuizawa Train Station,Karuizawa,Japan,Unknown,Unknown,36.34255,138.65061,3087,9,DST not observed,Unknown zone identifier,Unknown,POINT(138.65061 36.34255)
13410,Connolly Station,Dublin,Ireland,Unknown,Unknown,53.35121,-6.250185,25,0,Europe,Unknown zone identifier,Unknown,POINT(-6.250185 53.35121)
13411,St Pierre d'Oléron Airfield,Saint Pierre d'Oleron,France,Unknown,LFDP,45.959202,-1.31611,20,-1,Europe,Unknown zone identifier,airport,POINT(-1.31611 45.959202)
13412,Semur En Auxois Airfield,Semur en Auxois,France,Unknown,LFGQ,47.481899,4.34417,1053,-1,Europe,Unknown zone identifier,airport,POINT(4.34417 47.481899)
13413,North Leominster Station,Leominster,United States,Unknown,Unknown,42.539096,-71.739202,364,-5,US/Canada,Unknown zone identifier,Unknown,POINT(-71.739202 42.539096)
